,Normal Error Percents,CKKS Error Percents
-3370,380265.7917085138,380289.6915683487
-3380,387600.4108359094,387624.77568250627
-3390,395067.49974260386,395092.3290906523
-3400,402669.288768857,402694.6484492368
-3410,410408.0430822112,410433.87514828483
-3420,418286.0631789055,418312.31553738134
-3430,426305.6853918724,426332.56226592674
-3440,434469.2824054506,434496.58705448173
-3450,442779.26377684023,442807.1902616941
-3460,451238.0764644273,451266.5859195756
-3470,459848.2053630246,459877.1855934114
-3480,468612.1738461346,468641.77721372945
-3490,477532.5443153056,477562.701599917
-3500,486611.91875666846,486642.65156759985
-3510,495852.9393047411,495884.29262273374
-3520,505258.28881358355,505290.2365375569
-3530,514830.6914353948,514863.2011573177
-3540,524572.9132066354,524606.1038699814
-3550,534487.7626417652,534521.6057098386
-3560,544578.0913346906,544612.5187243886
-3570,554846.7945680076,554881.9746147672
-3580,565296.811930129,565332.6875765919
-3590,575931.1279404036,575967.9126049423
-3600,586752.7726822975,586789.9883256853
-3610,597764.8224447594,597802.7764788005
-3620,608970.4003718363,609009.048580626
-3630,620372.677120668,620412.0445820759
-3640,631974.8715279265,632015.1749414369
-3650,643780.2512848288,643821.173352245
-3660,655792.1336207925,655833.8359830761
-3670,668013.885995869,668056.3885121355
-3680,680448.926802021,680492.1023239088
-3690,693100.7260733793,693144.789717522
-3700,705972.8062055553,706018.0118738768
-3710,719068.7426841385,719114.6505856519
-3720,732392.1648224657,732438.7670285337
-3730,745946.7565087843,745994.0610144252
-3740,759736.2569629034,759784.7130961759
-3750,773764.4615024561,773813.7217927641
-3760,788035.2223188793,788085.545044983
-3770,802552.4492632166,802604.4687950136
-3780,817320.1106418631,817372.0978207536
-3790,832342.2340223673,832395.3204349059
-3800,847622.9070494045,847677.147556918
-3810,863166.2782710346,863221.4637421741
-3820,878976.557975365,879032.7546669904
-3830,895058.0190377372,895115.3012188966
-3840,911414.9977785648,911473.0286920763
-3850,928051.8948319217,928111.3081508252
-3860,944973.1760250339,945033.6168114675
-3870,962183.3732687742,962244.9873446082
-3880,979687.0854592996,979749.9199608325
-3890,997488.9793909478,997552.9445845123
-3900,1015593.7906805275,1015658.9466744274
-3910,1034006.3247031305,1034072.6423264705
-3920,1052731.4575395936,1052798.7421239235
-3930,1071774.136935745,1071842.987572186
-3940,1091139.3832735613,1091209.4687179998
-3950,1110832.290554381,1110903.6791220263
-3960,1130858.027394305,1130930.7449209737
-3970,1151221.8380319076,1151295.892606611
-3980,1171929.04334843,1172004.4433180657
-3990,1192985.0419005565,1193061.6935955894
-4000,1214395.310965943,1214473.3133920813
-4010,1236165.4076016303,1236245.143480961
-4020,1258300.969715488,1258382.011970551
-4030,1280807.7171508311,1280890.2431521337
-4040,1303691.4527843604,1303775.7305192375
-4050,1326958.063637577,1327043.6395973777
-4060,1350613.522001818,1350700.507815003
-4070,1374663.8865770593,1374752.3174139268
-4080,1399115.3036246505,1399205.5630902704
-4090,1423974.0081341388,1424065.3831006298
-4100,1449246.325004298,1449339.5024141772
-4110,1474938.6702386078,1475034.067898623
-4120,1501057.5521552141,1501154.6923353015
-4130,1527609.5726116912,1527708.4863229992
-4140,1554601.42824458,1554702.1349291368
-4150,1582039.9117240885,1582142.5223599891
-4160,1609931.9130238637,1610035.486225406
-4170,1638284.4207062742,1638390.260296578
-4180,1667104.5232231135,1667212.0450962367
-4190,1696399.4102321288,1696509.3455410711
-4200,1726176.3739293336,1726288.144354069
-4210,1756442.810397478,1756556.7755771822
-4220,1787206.220970667,1787321.8580502046
-4230,1818474.2136154736,1818592.5428045208
-4240,1850254.5043285664,1850374.7760158186
-4250,1882554.9185512043,1882676.974900015
-4260,1915383.3926005824,1915507.7016148572
-4270,1948747.9751184247,1948874.5550476979
-4280,1982656.8285368106,1982785.2988322629
